time,open,high,low,close,Volume,Volume MA,Histogram,MACD,Signal,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Bollinger Bands %B,Bollinger Bands Width,ROC,K,D,RVI,RVI-based MA,Upper Bollinger Band,Lower Bollinger Band
2011-10-10T00:00:00Z,3.99,4.51,3.99,4.51,132.5,67.98701347350001,0.16321431584813118,-1.0667962477095125,-1.2300105635576437,34.42721424624095,29.5434285492011,NaN,NaN,0.2764928697210872,0.44812716620899307,-6.431535269709554,31.73433560405479,15.730359293333223,38.93919098088098,43.102220824100904,NaN,NaN
2011-10-11T00:00:00Z,3.98,4.1,3.98,4.1,78.08,65.90037347350003,0.15423131860428496,-1.0372214153022874,-1.1914527339065724,31.35514299455717,29.62889468065097,NaN,NaN,0.13441755608581338,0.4792797279836624,-14.937759336099596,54.1487600540745,29.603309645214335,34.54539287374607,42.40424327636477,NaN,NaN
2011-10-12T00:00:00Z,3.95,3.99,3.93,3.93,79.523525,68.87654972350002,0.14052913368273567,-1.0157913168031527,-1.1563204504858884,30.15365586204615,29.285992734572943,NaN,NaN,0.11075677689867333,0.5179928088292484,-19.301848049281315,73.86390102073442,53.24899889295457,30.309828932916073,41.122623732021665,NaN,NaN
2011-10-13T00:00:00Z,3.93,3.97,3.93,3.97,109.621766,69.89360248950001,0.1376687596059596,-0.984234500978439,-1.1219032605843986,30.825321669114928,29.490127866591756,NaN,NaN,0.16411083282894026,0.5341433964112128,-20.28112449799197,63.9850478375731,63.99923630412734,38.92755619237152,40.720029388717805,NaN,NaN
2011-10-14T00:00:00Z,4.05,4.05,4.05,4.05,96.97751266,73.86101200350001,0.14399269966359363,-0.9419123860049066,-1.0859050856685002,32.22900170331745,29.690352957177158,NaN,NaN,0.22314530217901843,0.5371502101558815,-17.682926829268297,67.89909599801003,68.58268161877251,45.8204810700982,40.492657895423335,NaN,NaN
2011-10-17T00:00:00Z,3.92,3.92,3.92,3.92,10.24,72.18409088450002,0.14201178061233644,-0.9083903599030796,-1.050402140515416,31.123775194898442,29.8491425116095,NaN,NaN,0.20030245136368002,0.5343719825129714,-18.333333333333332,70.99049443128558,67.62487942228957,41.25916030104443,40.24294369832875,NaN,NaN
2011-10-20T00:00:00Z,2.22,2.29,2.22,2.24,61.972332,74.24870564400001,0.03568832732203919,-1.005791731362867,-1.0414800586849062,21.068582945649496,29.289704048238352,NaN,NaN,-0.2286615978014083,0.6882511323692734,-51.40997830802603,49.135012010392096,62.67486747989591,33.77647545491229,39.75494261419171,NaN,NaN
2011-10-21T00:00:00Z,2.22,2.27,2.22,2.27,41.46334066,71.79251936050002,-0.02141448965459669,-1.0682481707531521,-1.0468336810985555,21.555948444226104,28.713060763216983,NaN,NaN,-0.09442767030611342,0.7989225811066057,-43.1077694235589,24.022645769942173,48.04938407053996,47.14121193531115,39.80084000126082,NaN,NaN
2011-10-24T00:00:00Z,2.99,2.99,2.92,2.92,64.54,74.40851936050002,-0.005057581807588196,-1.0531556583580408,-1.0480980765504526,31.434381577798334,28.72293255879978,NaN,NaN,0.11938113316552189,0.7860145487973874,-24.935732647814913,27.081527257573963,33.41306167930276,57.404391190141254,40.19261989866963,NaN,NaN
2011-10-25T00:00:00Z,2.66,2.72,2.66,2.72,130.29932366,78.94456237650002,0.0022515152766371394,-1.0452836824546563,-1.0475351977312934,30.17522458545818,28.673547974756396,NaN,NaN,0.1109094447512813,0.8493178104780703,-39.689578713968956,49.80501699963431,33.63639667571683,46.53293369308027,40.179921711565086,NaN,NaN
2011-10-26T00:00:00Z,2.72,3,2.67,2.69,268.2689727,91.14028601150002,0.014350336103359451,-1.029597277602094,-1.0439476137054535,29.981225233004835,28.67361490171201,NaN,NaN,0.14510236246902658,0.8993007353439698,-34.39024390243902,70.82832045838934,49.238288238532554,38.66115061413048,39.928684442589976,NaN,NaN
2011-10-28T00:00:00Z,3.07,4.36,3.07,4.2,118.37787266,92.90651335450002,0.12706351775986824,-0.8851182165056182,-1.0121817342654864,48.07615772425399,30.066132563304883,NaN,NaN,0.5806448401775907,0.8857178124635922,6.870229007633587,78.29623290415543,66.30985678739303,48.80974351797523,40.6816254481512,NaN,NaN
2011-10-29T00:00:00Z,3.69,4.4,3.69,3.95,88.432425,94.97990960450002,0.18432252854989684,-0.7817785735781153,-0.9661011021280121,45.95849867624319,31.59506642316253,NaN,NaN,0.521790504039724,0.87012225097241,-0.5037783375314866,86.29241586457407,78.47232307570629,40.97033311863629,41.070642508580114,NaN,NaN
2011-10-30T00:00:00Z,3.85,3.85,3.2,3.5,116.381395,99.27018185450001,0.19063868631427794,-0.7278027442351647,-0.9184414305494426,42.34302383085299,32.907653906261594,NaN,NaN,0.40551443078781824,0.8560286360718489,-13.580246913580243,90.31038143216124,84.96634340029692,34.77896937427205,41.27691566067972,NaN,NaN
2011-10-31T00:00:00Z,3.25,3.55,3.2,3.3,68.99404308,95.59380288950001,0.18021365912834975,-0.6931743566390054,-0.8733880157673551,40.806528222151066,33.363319190255176,NaN,NaN,0.36330191514463883,0.8329017108305247,-15.81632653061225,81.33804735959585,85.9802815521104,29.923105603995133,40.63290956233073,NaN,NaN
2011-11-01T00:00:00Z,3.32,3.33,3.32,3.33,38.7771206,91.84665891950002,0.17410939799327774,-0.655751268275758,-0.8298606662690358,41.15148201707068,34.06305769186328,NaN,NaN,0.3921238109347798,0.7999394212144649,48.66071428571428,75.40512335762209,82.35118404979308,39.09585245050639,40.957942389242184,NaN,NaN
2011-11-04T00:00:00Z,3.27,3.55,3.21,3.55,117.08103867,89.15853338450002,0.18276183035586713,-0.6014083783242019,-0.784170208680069,43.740693920908086,35.03356041035342,NaN,NaN,0.48821739256348934,0.7581986177836537,56.387665198237876,77.13015803340292,77.95777625020698,46.3956294552031,42.10692814083411,NaN,NaN
2011-11-05T00:00:00Z,3.21,3.21,3,3,103.512,89.60213338450001,0.1506537451963167,-0.5958530271846731,-0.7465067723809898,39.10810723965307,35.62518795110615,NaN,NaN,0.30622188804623823,0.7391151197878019,2.739726027397263,75.03393009683221,75.85640382928575,41.56097261076885,42.29502931357678,NaN,NaN
2011-11-06T00:00:00Z,2.95,2.95,2.95,2.95,203.388,96.9715333845,0.12624637774590597,-0.5886988001986073,-0.7149451779445133,38.70676327156922,36.08788520598127,NaN,NaN,0.30712641010159986,0.7507694277902477,8.455882352941176,72.01660530858037,74.7268978129385,37.12031159531622,41.67358863680664,NaN,NaN
2011-11-08T00:00:00Z,3.08,3.08,3.08,3.08,47.47212389,98.795139579,0.11914458395618355,-0.5660144479992839,-0.6851590319554675,40.418815874818954,36.751816683118456,NaN,NaN,0.3722722911657761,0.755585777958832,14.498141263940527,67.91667152664408,71.65573564401889,43.572963382910665,41.83886028551137,NaN,NaN
2011-11-09T00:00:00Z,3.09,3.3,3.09,3.3,58.86052015,95.1131655865,0.12873391137420265,-0.5242416427377141,-0.6529755541119168,43.304932250464184,38.34012734774807,NaN,NaN,0.4795340139238524,0.7077155873718746,-21.428571428571434,72.98826543319062,70.97384742280504,48.83450006336787,42.914433471829625,NaN,NaN
2011-11-10T00:00:00Z,3.25,3.3,2.95,3.3,121.66777314,97.2925542435,0.13394892515151635,-0.4855393976725213,-0.6194883228240377,43.304932250464184,39.89362619105079,NaN,NaN,0.4962509434695188,0.6852764349670228,-16.45569620253165,75.76292685883094,72.22262127288856,45.27658151011678,42.78124558431574,NaN,NaN
2011-11-11T00:00:00Z,3.3,3.3,3.3,3.3,65.434,96.5880779935,0.135843527548263,-0.44968391338870894,-0.585527440936972,43.304932250464184,40.74152266766978,NaN,NaN,0.5104810675273729,0.6696469198563897,-5.71428571428572,76.4245359065312,75.05857606618427,42.865902418751624,41.74278210064505,NaN,NaN
2011-11-12T00:00:00Z,3.35,3.35,3.35,3.35,2.79,91.2464896935,0.13843891054368895,-0.4124788027573607,-0.5509177133010497,44.073921817810586,41.73428675569495,NaN,NaN,0.5494665019581242,0.647699592253631,1.5151515151515234,75.04883966717692,75.7454341441797,45.93296860082731,41.69992745119841,NaN,NaN
2011-11-13T00:00:00Z,3.35,3.35,3.35,3.35,29.48955224,87.87209167249999,0.13783106150537905,-0.3786288864193259,-0.516459947924705,44.073921817810586,42.74090794032394,NaN,NaN,0.5704563840089152,0.614404155414505,0.6006006006006012,69.59940188395495,73.69092581922105,43.22160821916793,42.0256744229868,NaN,NaN
2011-11-14T00:00:00Z,2.95,2.95,2.47,2.47,183.4,96.53009167249999,0.07877366410717934,-0.41799286779073075,-0.4967665318979101,34.517478867936674,41.77243087915842,NaN,NaN,0.15908667396665166,0.6247917708778306,-30.422535211267594,45.05531654606123,63.23451936573105,38.84583278874737,41.31396651375625,NaN,NaN
2011-11-15T00:00:00Z,2.99,3,2.5,2.5,97.3416118,98.2985556625,0.044071641471559064,-0.44167698005846123,-0.4857486215300203,35.03463269005063,40.99215473728752,NaN,NaN,0.1528855883446366,0.5955585492177901,-16.666666666666668,20.89850499698077,45.184407808999,45.8347655900284,41.66142597599854,NaN,NaN
2011-11-16T00:00:00Z,2.51,3,2.51,3,5.61666667,96.506221963,0.056348087072649655,-0.41531351268920824,-0.4716615997618579,43.10025855714512,41.04624293202267,NaN,NaN,0.389567864265996,0.534003452796785,1.694915254237282,31.74100642206859,32.56494265503688,52.14518669449798,42.90187007030039,NaN,NaN
2011-11-17T00:00:00Z,3,3,2.5,2.99,17.01862876,94.130153401,0.06475073764057326,-0.3907231777111413,-0.45547391535171455,42.98531332799036,41.20187043958263,NaN,NaN,0.3810973309633713,0.5309927583910088,-2.9220779220779174,61.27722090574114,37.97224410826352,45.98583137940796,44.04920762568702,NaN,NaN
2011-11-18T00:00:00Z,2.5,2.79,2.5,2.5,88.44,92.037187218,0.0395048290408071,-0.4060928790507057,-0.4455977080915128,37.682230181190754,40.95406673701977,NaN,NaN,0.11191105154021404,0.5513170885712161,-24.24242424242424,70.51216848692617,54.510131938245316,39.840248402310266,44.102378765101584,NaN,NaN
2011-11-19T00:00:00Z,2.5,2.5,2.43,2.43,48.87212355,81.06734476049999,0.021205466988366672,-0.4190908743560544,-0.4402963413444211,36.980345208940975,40.471184686164975,NaN,NaN,0.09585613046035793,0.5761152956319318,-26.363636363636356,49.16561593836558,60.31833511034432,34.22743144407066,43.233221764306414,NaN,NaN
2011-11-20T00:00:00Z,2.37,2.37,2.37,2.37,11,75.6984511275,0.008809193621356126,-0.4292848493177259,-0.43809404293908205,36.355266689989065,40.27455321833184,NaN,NaN,0.08195304190857079,0.5490264938287146,-28.181818181818176,26.039693902388887,48.57249277589357,29.34497335767981,42.36065038908577,NaN,NaN
2011-11-21T00:00:00Z,2.45,3,2.25,2.25,290.52677579,85.803168667,-0.0030864427489294965,-0.4419520963752439,-0.4388656536263144,35.078194282270616,40.01536971909622,NaN,NaN,0.04661587900658185,0.5464312008683331,-32.83582089552239,16.956691253184925,30.720667031313152,25.201271364675996,41.50929037261147,NaN,NaN
2011-11-22T00:00:00Z,2.53,2.59,2.46,2.59,328.49334597,96.40876621550001,0.015318459349993097,-0.41971757943882304,-0.43503603878881614,41.36313628714669,40.08282117711963,NaN,NaN,0.2777880206132941,0.5431416534684848,-22.686567164179113,32.24407764857151,25.08015426804846,34.25976685313299,40.844062049055914,NaN,NaN
2011-11-24T00:00:00Z,2.54,3,2.54,3,9.1446088,93.4162945015,0.056182659161523874,-0.3648077148369113,-0.4209903739984352,47.91162543646945,40.41187069040571,NaN,NaN,0.5443325273177002,0.5349591110513933,21.4574898785425,59.16711853420899,36.12262914532183,40.91706294346986,40.27853082620606,NaN,NaN
2011-11-25T00:00:00Z,2.5,15,2.5,2.75,179.78726599,100.46680177100001,0.06673403302693626,-0.3375728327147649,-0.40430686574170116,44.638091607100826,40.50709635873691,NaN,NaN,0.4010164119250775,0.5275053460084059,10,82.39797185657166,57.93638934645074,36.65741758455032,39.66287626009417,NaN,NaN
2011-11-26T00:00:00Z,2.77,2.77,2.77,2.77,10.09025271,95.11726247300001,0.07481146326359867,-0.31079253666220286,-0.3856039999258015,44.96206751086373,40.62546316305116,NaN,NaN,0.43452154002786164,0.49351207242961004,-7.666666666666667,84.51290712916239,75.3593325066477,43.411710172015766,39.70186252818447,NaN,NaN
2011-11-28T00:00:00Z,2.67,2.78,2.66,2.66,180.36714898,98.960019922,0.07244803456780968,-0.29504395671603945,-0.36749199128384913,43.455817862473964,40.581312880527115,NaN,NaN,0.3691165770238562,0.4980818076434415,-11.036789297658865,73.4239647786194,80.11161458811783,39.05490216493704,39.21057206847802,NaN,NaN
2011-11-29T00:00:00Z,2.69,3.23,2.69,2.72,62.46464882,91.91385236300002,0.07434825172731696,-0.27455667662470296,-0.3489049283520199,44.54705355036872,40.615108004281275,NaN,NaN,0.41959987927055503,0.5003205076273342,8.800000000000008,73.19740298346933,77.04475829708373,44.69554555197902,39.31585330653595,NaN,NaN
2011-11-30T00:00:00Z,3.19,3.19,3.19,3.19,14.53918495,90.26720541600001,0.10481701444536651,-0.2178836602953118,-0.3227006747406783,52.31096324636818,41.88607117416923,NaN,NaN,0.7440298987446975,0.5058282837410496,31.27572016460904,80.53781821762641,75.71972865990507,51.35324064959102,40.209239582310495,NaN,NaN
